Gene Name,ZT1,ZT4,ZT7,ZT10,ZT13,ZT16,ZT19,ZT22
Ppfibp1,8.31,9.627,8.364,5.667,2.388,5.151,5.822,6.378
Prkd2,7.859,8.961,7.047,6.946,5.709,6.149,6.876,8.296
Dhfr,5.606,5.674,5.25,3.386,3.052,3.548,4.517,4.263
Klf9,87.801,102.096,63.119,59.115,34.147,58.603,56.337,71.792
Phyh,159.833,219.688,180.415,144.198,101.598,125.247,154.431,179.948
Wsb1,59.318,72.473,33.416,34.585,16.499,28.145,16.713,53.709
Hs1bp3,6.608,6.926,4.731,4.258,3.68,4.205,4.642,4.443
Zak,4.255,5.087,3.753,2.79,2.855,2.733,3.262,4.066
Nudt16l1,92.27154047,92.77284595,68.69451697,73.9843342,59.43603133,48.44386423,78.49608355,79.4464752
1700037H04Rik,4.655,5.205,3.793,2.311,1.347,2.917,3.563,3.049
Sgms2,28.182,33.458,20.88,14.285,6.535,7.568,14.806,10.05
Zak,4.205,5.048,3.713,2.819,2.855,2.68,3.287,4.115
Prkd2,7.509,8.922,6.947,6.772,5.673,6.149,6.675,8.001
Ccdc41os1,5.606,6.379,4.451,4.854,3.106,3.968,4.241,4.689
St8sia3os,6.057,7.083,5.43,4.171,2.083,3.81,4.743,4.115
Gm10865,3.754,5.165,5.03,1.511,0.934,1.34,2.434,1.623
4930471C04Rik,4.253655219,5.453927236,4.141448487,2.223733424,1.22067324,1.519891193,2.390343421,2.230533832
Trex1,96.70454545,100.5,81.96212121,98.96969697,69.63636364,63.50757576,77.56818182,77.00757576
Slc25a34,18.62458472,22.75083056,11.14285714,17.62126246,9.305647841,9.255813953,10.33887043,11.9269103
4930404N11Rik,30.91819699,43.98998331,30.21702838,32.58764608,21.17974402,19.15971063,24.57985531,30.20033389
Lrig2,8.36,9.822,5.649,5.13,6.786,7.411,8.532,8.673
Tapbp,17.93933188,18.83271471,13.64392679,11.58709843,10.98425701,14.36196083,16.79764495,14.68833995
Sdr39u1,6.339662447,9.493670886,5.685654008,5.675105485,2.078059072,4.430379747,5.55907173,3.628691983
Fetub,33.989,35.102,29.763,29.543,17.684,25.281,19.975,22.018
Eci2,68.979,87.656,63.219,81.378,53.824,34.978,41.406,44.741
Prrc2b,13.766,18.549,17.087,16.276,15.44,16.188,11.569,13.591
Tmem184a,6.007910529,7.04446263,4.301691217,3.468357883,2.154937261,3.978450627,4.517184943,3.979814512
Pgap1,3.554,5.244,4.731,4.069,3.842,3.311,3.338,3.148
Trafd1,21.575,23.088,21.379,18.688,17.289,15.189,21.004,20.182
Dap3,6.507,9.196,8.085,7.513,6.643,6.438,5.998,6.361
Slc25a22,114.5010541,182.737175,163.7069571,110.6465214,99.23049895,68.33099086,129.7926915,142.4595924
Pde4b,39.045,44.885,36.989,26.244,15.745,15.61,27.253,33.74
Pde4b,30.435,32.127,22.577,17.206,10.682,7.49,16.863,21.592
Pde4b,29.934,33.341,23.475,17.642,10.952,7.936,16.587,21.428
Tmsb10,7.496433666,11.16262482,4.272467903,2.696148359,2.689015692,3.937232525,4.472182596,3.972895863
Rhoc,5.551663748,5.595446585,3.613543491,3.689433742,3.091068301,4.448336252,4.541739638,4.544658494
Il10ra,8.46,9.822,9.083,9.765,8.384,5.992,8.206,8.132
Prkch,4.705,7.279,5.27,3.706,3.555,3.311,4.517,4.935
Itga2b,5.156,5.4,4.971,3.197,2.298,2.654,2.836,2.82
Sqstm1,140.4549138,144.3616159,126.2322028,120.237296,103.0153953,93.96457923,113.5478643,111.4365089
Stxbp3a,7.559,8.1,7.785,7.542,6.302,5.124,6.75,7.935
Coro1b,28.79039431,35.73376816,31.8381263,32.2265046,27.35843463,20.25793063,27.30506967,25.90572191
Eci2,68.979,87.539,63.159,81.305,53.878,35.03,41.481,44.708
Spsb2,37.67622461,46.51732378,45.31660693,34.02628435,25.52568698,25.27479092,32.83154122,38.97849462
Mbd1,67.978,132.932,59.606,59.289,54.452,39.235,35.233,106.09
Zfp30,5.296090827,5.554122049,4.223971101,2.999612953,3.520836021,2.746742356,4.662624178,4.103986582
Aass,97.862,125.614,68.349,75.783,63.716,60.863,67.579,117.304
Sssca1,31.46186441,32.88841808,25.37429379,28.32627119,27.76836158,21.52542373,28.1779661,28.71468927
Grpel2,27.482,27.666,21.579,24.37,17.11,15.163,23.237,19.706
